chr	start	end
1	1	888659
1	888660	1891263
1	1891264	2299651
1	2299652	2898494
1	2898495	3168280
1	3168281	3487126
1	3487127	3681681
1	3681682	4153087
1	4153088	4514453
1	4514454	5000086
1	5000087	5310609
1	5310610	5630901
1	5630902	5836317
1	5836318	6217859
1	6217860	7245922
1	7245923	7603317
1	7603318	8273392
1	8273393	9068386
1	9068387	9469114
1	9469115	10479678
1	10479679	10862323
1	10862324	11387622
1	11387623	11824133
1	11824134	12242096
1	12242097	12720275
1	12720276	13807567
1	13807568	14128756
1	14128757	14507739
1	14507740	14960563
1	14960564	15310472
1	15310473	15570386
1	15570387	16413291
1	16413292	17029987
1	17029988	17675889
1	17675890	18105728
1	18105729	18487906
1	18487907	18766850
1	18766851	19049615
1	19049616	19243589
1	19243590	20139463
1	20139464	20469854
1	20469855	20996757
1	20996758	22004400
1	22004401	22738432
1	22738433	23209562
1	23209563	24423609
1	24423610	25224010
1	25224011	25908241
1	25908242	27366975
1	27366976	29180014
1	29180015	30148454
1	30148455	30608803
1	30608804	31116388
1	31116389	31639120
1	31639121	33066299
1	33066300	34220381
1	34220382	34540668
1	34540669	35040991
1	35040992	35635453
1	35635454	37078925
1	37078926	37425875
1	37425876	38197629
1	38197630	38732247
1	38732248	39145914
1	39145915	40164332
1	40164333	40935881
1	40935882	41850182
1	41850183	43366503
1	43366504	44587132
1	44587133	45934562
1	45934563	47744414
1	47744415	48482986
1	48482987	49331291
1	49331292	53632424
1	53632425	54035689
1	54035690	54770424
1	54770425	55243590
1	55243591	55723817
1	55723818	56895392
1	56895393	57278096
1	57278097	57958234
1	57958235	58686286
1	58686287	59346222
1	59346223	59986885
1	59986886	61259236
1	61259237	61756642
1	61756643	62126948
1	62126949	62773907
1	62773908	63457670
1	63457671	64102590
1	64102591	64555327
1	64555328	65151660
1	65151661	66140396
1	66140397	67255744
1	67255745	68093218
1	68093219	68664755
1	68664756	69831270
1	69831271	70990955
1	70990956	72557973
1	72557974	75015939
1	75015940	76553932
1	76553933	77189064
1	77189065	78292918
1	78292919	79663267
1	79663268	81159163
1	81159164	81867055
1	81867056	82563290
1	82563291	83468139
1	83468140	84745992
1	84745993	85392324
1	85392325	86455163
1	86455164	87654606
1	87654607	88036573
1	88036574	88604157
1	88604158	89780526
1	89780527	90600240
1	90600241	91529589
1	91529590	92241033
1	92241034	94479725
1	94479726	95198932
1	95198933	96150397
1	96150398	97725679
1	97725680	98799737
1	98799738	99800131
1	99800132	101196787
1	101196788	102040519
1	102040520	102745639
1	102745640	104985647
1	104985648	106457397
1	106457398	107488772
1	107488773	107931160
1	107931161	108647547
1	108647548	109813719
1	109813720	110347233
1	110347234	110770223
1	110770224	111236208
1	111236209	112068174
1	112068175	112688366
1	112688367	113412089
1	113412090	114663021
1	114663022	115655358
1	115655359	116205021
1	116205022	117032630
1	117032631	117723631
1	117723632	118985435
1	118985436	120346162
1	120346163	144479599
1	144479600	145159810
1	145159811	146118327
1	146118328	147164309
1	147164310	148556529
1	148556530	149779893
1	149779894	151832901
1	151832902	153328884
1	153328885	154695678
1	154695679	155022860
1	155022861	156662759
1	156662760	157154186
1	157154187	157976566
1	157976567	158726803
1	158726804	159582354
1	159582355	159912346
1	159912347	160470686
1	160470687	161274311
1	161274312	162152056
1	162152057	162959779
1	162959780	163579688
1	163579689	164479853
1	164479854	164659008
1	164659009	165191702
1	165191703	165825166
1	165825167	166730775
1	166730776	167471328
1	167471329	167650607
1	167650608	168405235
1	168405236	169009788
1	169009789	170064612
1	170064613	171223015
1	171223016	172463995
1	172463996	173465265
1	173465266	175528957
1	175528958	176440645
1	176440646	177651228
1	177651229	178661629
1	178661630	180187882
1	180187883	181118234
1	181118235	181528408
1	181528409	182549019
1	182549020	183842242
1	183842243	184957239
1	184957240	186175300
1	186175301	187438634
1	187438635	188757435
1	188757436	190108881
1	190108882	192547052
1	192547053	193574615
1	193574616	195567234
1	195567235	197165712
1	197165713	198595099
1	198595100	200065215
1	200065216	200865768
1	200865769	201386311
1	201386312	201719335
1	201719336	202293179
1	202293180	203269115
1	203269116	203640152
1	203640153	204175883
1	204175884	204870988
1	204870989	205438437
1	205438438	206544117
1	206544118	207288521
1	207288522	208195516
1	208195517	208807013
1	208807014	209581483
1	209581484	209835945
1	209835946	210887739
1	210887740	212097891
1	212097892	213527588
1	213527589	213864971
1	213864972	214575449
1	214575450	215333812
1	215333813	216245033
1	216245034	216942488
1	216942489	217507839
1	217507840	218387236
1	218387237	219056625
1	219056626	220531792
1	220531793	221858273
1	221858274	222926678
1	222926679	223856751
1	223856752	225610492
1	225610493	226845724
1	226845725	229042787
1	229042788	229475610
1	229475611	230274414
1	230274415	230775683
1	230775684	231711489
1	231711490	232312344
1	232312345	232688592
1	232688593	233196079
1	233196080	233751755
1	233751756	234329435
1	234329436	234600603
1	234600604	234931575
1	234931576	235713453
1	235713454	236292860
1	236292861	236681306
1	236681307	237131705
1	237131706	237271632
1	237271633	237646499
1	237646500	238106392
1	238106393	238726425
1	238726426	239530742
1	239530743	240063366
1	240063367	240563367
1	240563368	240752052
1	240752053	241095576
1	241095577	241465131
1	241465132	241767708
1	241767709	242088336
1	242088337	242656745
1	242656746	243093303
1	243093304	244241949
1	244241950	244459922
1	244459923	244924975
1	244924976	245112520
1	245112521	245373614
1	245373615	245703284
1	245703285	246058909
1	246058910	247140776
1	247140777	247846258
1	247846259	248731762
1	248731763	536870911
2	1	654281
2	654282	1623765
2	1623766	2231927
2	2231928	2596253
2	2596254	2942896
2	2942897	3683651
2	3683652	4147979
2	4147980	4476426
2	4476427	4991858
2	4991859	5528414
2	5528415	5815290
2	5815291	6363474
2	6363475	6836917
2	6836918	7107455
2	7107456	7810042
2	7810043	8098806
2	8098807	8423057
2	8423058	8684493
2	8684494	9327001
2	9327002	9907086
2	9907087	10241915
2	10241916	10532808
2	10532809	10991505
2	10991506	11108323
2	11108324	11651307
2	11651308	11950342
2	11950343	12420336
2	12420337	13069079
2	13069080	14060528
2	14060529	15053835
2	15053836	15891558
2	15891559	16187988
2	16187989	16578951
2	16578952	17243243
2	17243244	18392931
2	18392932	19182076
2	19182077	20059323
2	20059324	20701979
2	20701980	20988399
2	20988400	21926695
2	21926696	23166176
2	23166177	23704874
2	23704875	25239348
2	25239349	26741298
2	26741299	28599765
2	28599766	29247845
2	29247846	29808502
2	29808503	30462979
2	30462980	30982482
2	30982483	31351249
2	31351250	33035529
2	33035530	33666456
2	33666457	34036317
2	34036318	34815328
2	34815329	35936932
2	35936933	36683997
2	36683998	37375540
2	37375541	37960613
2	37960614	38427540
2	38427541	39863386
2	39863387	40626646
2	40626647	42004502
2	42004503	42949616
2	42949617	43447595
2	43447596	44475174
2	44475175	45322349
2	45322350	45858708
2	45858709	46127318
2	46127319	46518894
2	46518895	47251125
2	47251126	47805801
2	47805802	49009415
2	49009416	50022788
2	50022789	51450802
2	51450803	52938976
2	52938977	53635266
2	53635267	54684557
2	54684558	56266397
2	56266398	57692008
2	57692009	59273651
2	59273652	60495717
2	60495718	62430208
2	62430209	64627342
2	64627343	65097211
2	65097212	65806072
2	65806073	66723699
2	66723700	67227122
2	67227123	68010475
2	68010476	68661542
2	68661543	69296510
2	69296511	70753964
2	70753965	71202413
2	71202414	71865177
2	71865178	73122181
2	73122182	74122223
2	74122224	75073582
2	75073583	75492442
2	75492443	76619122
2	76619123	77381601
2	77381602	77921422
2	77921423	79182937
2	79182938	79855622
2	79855623	80197462
2	80197463	80804284
2	80804285	83604897
2	83604898	85140165
2	85140166	85978786
2	85978787	87800000
2	87800001	88232300
2	88232301	89154757
2	89154758	91788738
2	91788739	100199134
2	100199135	101552901
2	101552902	102966790
2	102966791	104569957
2	104569958	105366165
2	105366166	106071344
2	106071345	106652905
2	106652906	107781838
2	107781839	108930930
2	108930931	110258754
2	110258755	111904370
2	111904371	112422223
